dataset,scenario,seed,split,model,metric,accuracy,balanced_accuracy,macro_f1,fit_seconds,predict_seconds,total_seconds,device,train_size,test_size,n_samples_total,n_features_raw,n_numeric_features,n_categorical_features,n_features_after_preprocessing,random_state,test_size_ratio,data_cache,input_representation,notes
adult,control_10k,42,adult_fixed_test_seed42_train10000,LightGBM,accuracy,0.8684,0.7924,0.8086,0.2203,0.0868,0.3071,cpu,10000,9769,48842,14,6,8,104,42,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Fixed test set + seed-specific 10k train subset in the unified Phase 4 mainline table.
adult,control_10k,42,adult_fixed_test_seed42_train10000,XGBoost,accuracy,0.8681,0.7875,0.8062,0.517,0.0492,0.5662,cpu,10000,9769,48842,14,6,8,104,42,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Fixed test set + seed-specific 10k train subset in the unified Phase 4 mainline table.
adult,control_10k,42,adult_fixed_test_seed42_train10000,TabPFN v2,accuracy,0.8621,0.7807,0.7981,0.5252,13.8183,14.3435,cuda,10000,9769,48842,14,6,8,14,42,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/adult_openml.csv,median-impute numeric + ordinal categorical,Fixed test set + seed-specific 10k train subset within TabPFN support range; trained without ignore_pretraining_limits=True.
adult,control_10k,42,adult_fixed_test_seed42_train10000,TabICL,accuracy,0.8703,0.7907,0.8095,0.5801,4.861,5.4411,cuda,10000,9769,48842,14,6,8,14,42,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/adult_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),Fixed test set + seed-specific 10k train subset; uses TabICLClassifier with the official tabicl-classifier-v2-20260212.ckpt checkpoint.
adult,control_10k,43,adult_fixed_test_seed43_train10000,LightGBM,accuracy,0.8712,0.7963,0.8128,0.3802,0.0925,0.4726,cpu,10000,9769,48842,14,6,8,105,43,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Fixed test set + seed-specific 10k train subset in the unified Phase 4 mainline table.
adult,control_10k,43,adult_fixed_test_seed43_train10000,XGBoost,accuracy,0.8708,0.7927,0.8108,0.3476,0.0491,0.3967,cpu,10000,9769,48842,14,6,8,105,43,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Fixed test set + seed-specific 10k train subset in the unified Phase 4 mainline table.
adult,control_10k,43,adult_fixed_test_seed43_train10000,TabPFN v2,accuracy,0.8641,0.785,0.8017,0.3935,12.7551,13.1486,cuda,10000,9769,48842,14,6,8,14,43,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/adult_openml.csv,median-impute numeric + ordinal categorical,Fixed test set + seed-specific 10k train subset within TabPFN support range; trained without ignore_pretraining_limits=True.
adult,control_10k,43,adult_fixed_test_seed43_train10000,TabICL,accuracy,0.8698,0.7917,0.8095,0.768,4.832,5.6,cuda,10000,9769,48842,14,6,8,14,43,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/adult_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),Fixed test set + seed-specific 10k train subset; uses TabICLClassifier with the official tabicl-classifier-v2-20260212.ckpt checkpoint.
adult,control_10k,44,adult_fixed_test_seed44_train10000,LightGBM,accuracy,0.8688,0.7947,0.8099,0.2253,0.0893,0.3147,cpu,10000,9769,48842,14,6,8,104,44,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Fixed test set + seed-specific 10k train subset in the unified Phase 4 mainline table.
adult,control_10k,44,adult_fixed_test_seed44_train10000,XGBoost,accuracy,0.8671,0.7851,0.8043,0.3663,0.0523,0.4186,cpu,10000,9769,48842,14,6,8,104,44,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Fixed test set + seed-specific 10k train subset in the unified Phase 4 mainline table.
adult,control_10k,44,adult_fixed_test_seed44_train10000,TabPFN v2,accuracy,0.8561,0.7679,0.787,0.3587,12.7346,13.0934,cuda,10000,9769,48842,14,6,8,14,44,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/adult_openml.csv,median-impute numeric + ordinal categorical,Fixed test set + seed-specific 10k train subset within TabPFN support range; trained without ignore_pretraining_limits=True.
adult,control_10k,44,adult_fixed_test_seed44_train10000,TabICL,accuracy,0.864,0.7856,0.8018,0.4688,4.5172,4.986,cuda,10000,9769,48842,14,6,8,14,44,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/adult_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),Fixed test set + seed-specific 10k train subset; uses TabICLClassifier with the official tabicl-classifier-v2-20260212.ckpt checkpoint.
adult,control_10k,45,adult_fixed_test_seed45_train10000,LightGBM,accuracy,0.8699,0.7895,0.8086,0.2161,0.0897,0.3057,cpu,10000,9769,48842,14,6,8,104,45,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Fixed test set + seed-specific 10k train subset in the unified Phase 4 mainline table.
adult,control_10k,45,adult_fixed_test_seed45_train10000,XGBoost,accuracy,0.8727,0.7869,0.8098,0.3654,0.0471,0.4125,cpu,10000,9769,48842,14,6,8,104,45,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Fixed test set + seed-specific 10k train subset in the unified Phase 4 mainline table.
adult,control_10k,45,adult_fixed_test_seed45_train10000,TabPFN v2,accuracy,0.8619,0.786,0.8003,0.3518,11.5632,11.915,cuda,10000,9769,48842,14,6,8,14,45,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/adult_openml.csv,median-impute numeric + ordinal categorical,Fixed test set + seed-specific 10k train subset within TabPFN support range; trained without ignore_pretraining_limits=True.
adult,control_10k,45,adult_fixed_test_seed45_train10000,TabICL,accuracy,0.8693,0.8003,0.8127,0.4586,4.6218,5.0804,cuda,10000,9769,48842,14,6,8,14,45,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/adult_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),Fixed test set + seed-specific 10k train subset; uses TabICLClassifier with the official tabicl-classifier-v2-20260212.ckpt checkpoint.
adult,control_10k,46,adult_fixed_test_seed46_train10000,LightGBM,accuracy,0.8677,0.7942,0.8088,0.2248,0.0987,0.3235,cpu,10000,9769,48842,14,6,8,104,46,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Fixed test set + seed-specific 10k train subset in the unified Phase 4 mainline table.
adult,control_10k,46,adult_fixed_test_seed46_train10000,XGBoost,accuracy,0.8705,0.7915,0.81,0.374,0.0521,0.4262,cpu,10000,9769,48842,14,6,8,104,46,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Fixed test set + seed-specific 10k train subset in the unified Phase 4 mainline table.
adult,control_10k,46,adult_fixed_test_seed46_train10000,TabPFN v2,accuracy,0.8627,0.7751,0.7959,0.3827,12.7459,13.1286,cuda,10000,9769,48842,14,6,8,14,46,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/adult_openml.csv,median-impute numeric + ordinal categorical,Fixed test set + seed-specific 10k train subset within TabPFN support range; trained without ignore_pretraining_limits=True.
adult,control_10k,46,adult_fixed_test_seed46_train10000,TabICL,accuracy,0.8672,0.7861,0.8048,0.5156,4.5834,5.099,cuda,10000,9769,48842,14,6,8,14,46,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/adult_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),Fixed test set + seed-specific 10k train subset; uses TabICLClassifier with the official tabicl-classifier-v2-20260212.ckpt checkpoint.
adult,full_train_reference,42,adult_fixed_test_seed42_full_train,LightGBM,accuracy,0.8751,0.8004,0.8179,0.7782,0.0905,0.8688,cpu,39073,9769,48842,14,6,8,105,42,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Full-train reference row in the unified Phase 4 mainline table.
adult,full_train_reference,42,adult_fixed_test_seed42_full_train,XGBoost,accuracy,0.8743,0.7941,0.8145,1.1792,0.0496,1.2288,cpu,39073,9769,48842,14,6,8,105,42,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Full-train reference row in the unified Phase 4 mainline table.
adult,full_train_reference,42,adult_fixed_test_seed42_full_train,TabPFN v2,accuracy,0.865,0.7812,0.8007,1.4124,81.6987,83.1111,cuda,39073,9769,48842,14,6,8,14,42,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/adult_openml.csv,median-impute numeric + ordinal categorical,"Full-train reference row; used ignore_pretraining_limits=True because train size exceeds the official 10,000-sample support, so this is a constrained result."
adult,full_train_reference,42,adult_fixed_test_seed42_full_train,TabICL,accuracy,0.8729,0.7946,0.8135,0.7247,25.9959,26.7205,cuda,39073,9769,48842,14,6,8,14,42,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/adult_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),Full-train reference row; uses TabICLClassifier with the official tabicl-classifier-v2-20260212.ckpt checkpoint and internal TransformToNumerical.
adult,full_train_reference,43,adult_fixed_test_seed43_full_train,LightGBM,accuracy,0.8781,0.8079,0.8236,0.747,0.0956,0.8427,cpu,39073,9769,48842,14,6,8,105,43,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Full-train reference row in the unified Phase 4 mainline table.
adult,full_train_reference,43,adult_fixed_test_seed43_full_train,XGBoost,accuracy,0.8781,0.8035,0.8218,1.2007,0.0499,1.2506,cpu,39073,9769,48842,14,6,8,105,43,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Full-train reference row in the unified Phase 4 mainline table.
adult,full_train_reference,43,adult_fixed_test_seed43_full_train,TabPFN v2,accuracy,0.8654,0.7846,0.8026,1.3818,81.7685,83.1503,cuda,39073,9769,48842,14,6,8,14,43,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/adult_openml.csv,median-impute numeric + ordinal categorical,"Full-train reference row; used ignore_pretraining_limits=True because train size exceeds the official 10,000-sample support, so this is a constrained result."
adult,full_train_reference,43,adult_fixed_test_seed43_full_train,TabICL,accuracy,0.8717,0.7891,0.81,0.7492,31.4507,32.1999,cuda,39073,9769,48842,14,6,8,14,43,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/adult_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),Full-train reference row; uses TabICLClassifier with the official tabicl-classifier-v2-20260212.ckpt checkpoint and internal TransformToNumerical.
adult,full_train_reference,44,adult_fixed_test_seed44_full_train,LightGBM,accuracy,0.8721,0.7968,0.8138,0.7415,0.0977,0.8392,cpu,39073,9769,48842,14,6,8,104,44,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Full-train reference row in the unified Phase 4 mainline table.
adult,full_train_reference,44,adult_fixed_test_seed44_full_train,XGBoost,accuracy,0.8695,0.7868,0.8071,1.1412,0.0522,1.1935,cpu,39073,9769,48842,14,6,8,104,44,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Full-train reference row in the unified Phase 4 mainline table.
adult,full_train_reference,44,adult_fixed_test_seed44_full_train,TabPFN v2,accuracy,0.8597,0.7682,0.79,1.3348,78.42,79.7547,cuda,39073,9769,48842,14,6,8,14,44,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/adult_openml.csv,median-impute numeric + ordinal categorical,"Full-train reference row; used ignore_pretraining_limits=True because train size exceeds the official 10,000-sample support, so this is a constrained result."
adult,full_train_reference,44,adult_fixed_test_seed44_full_train,TabICL,accuracy,0.872,0.7919,0.8115,0.7232,20.6995,21.4227,cuda,39073,9769,48842,14,6,8,14,44,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/adult_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),Full-train reference row; uses TabICLClassifier with the official tabicl-classifier-v2-20260212.ckpt checkpoint and internal TransformToNumerical.
adult,full_train_reference,45,adult_fixed_test_seed45_full_train,LightGBM,accuracy,0.8773,0.8002,0.8197,0.7528,0.0961,0.8489,cpu,39073,9769,48842,14,6,8,105,45,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Full-train reference row in the unified Phase 4 mainline table.
adult,full_train_reference,45,adult_fixed_test_seed45_full_train,XGBoost,accuracy,0.8765,0.7966,0.8176,1.1296,0.0507,1.1803,cpu,39073,9769,48842,14,6,8,105,45,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Full-train reference row in the unified Phase 4 mainline table.
adult,full_train_reference,45,adult_fixed_test_seed45_full_train,TabPFN v2,accuracy,0.8633,0.7784,0.798,1.3355,82.923,84.2585,cuda,39073,9769,48842,14,6,8,14,45,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/adult_openml.csv,median-impute numeric + ordinal categorical,"Full-train reference row; used ignore_pretraining_limits=True because train size exceeds the official 10,000-sample support, so this is a constrained result."
adult,full_train_reference,45,adult_fixed_test_seed45_full_train,TabICL,accuracy,0.8693,0.8113,0.8171,0.736,36.3559,37.0919,cuda,39073,9769,48842,14,6,8,14,45,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/adult_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),Full-train reference row; uses TabICLClassifier with the official tabicl-classifier-v2-20260212.ckpt checkpoint and internal TransformToNumerical.
adult,full_train_reference,46,adult_fixed_test_seed46_full_train,LightGBM,accuracy,0.8734,0.8013,0.8167,0.7556,0.1081,0.8637,cpu,39073,9769,48842,14,6,8,105,46,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Full-train reference row in the unified Phase 4 mainline table.
adult,full_train_reference,46,adult_fixed_test_seed46_full_train,XGBoost,accuracy,0.8729,0.7957,0.8139,1.1999,0.058,1.2579,cpu,39073,9769,48842,14,6,8,105,46,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Full-train reference row in the unified Phase 4 mainline table.
adult,full_train_reference,46,adult_fixed_test_seed46_full_train,TabPFN v2,accuracy,0.8633,0.7766,0.7972,1.4723,82.3844,83.8567,cuda,39073,9769,48842,14,6,8,14,46,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/adult_openml.csv,median-impute numeric + ordinal categorical,"Full-train reference row; used ignore_pretraining_limits=True because train size exceeds the official 10,000-sample support, so this is a constrained result."
adult,full_train_reference,46,adult_fixed_test_seed46_full_train,TabICL,accuracy,0.8677,0.8084,0.8146,0.7423,29.0095,29.7518,cuda,39073,9769,48842,14,6,8,14,46,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/adult_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),Full-train reference row; uses TabICLClassifier with the official tabicl-classifier-v2-20260212.ckpt checkpoint and internal TransformToNumerical.
