dataset,scenario,seed,split,model,metric,accuracy,balanced_accuracy,macro_f1,fit_seconds,predict_seconds,total_seconds,device,train_size,test_size,n_samples_total,n_features_raw,n_numeric_features,n_categorical_features,n_features_after_preprocessing,random_state,test_size_ratio,data_cache,input_representation,notes
bank_marketing,control_10k,42,bank_marketing_fixed_test_seed42_train10000,LightGBM,accuracy,0.9043,0.7048,0.7338,0.2289,0.0821,0.311,cpu,10000,9043,45211,16,7,9,51,42,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/bank_marketing_openml.csv,median-impute numeric + one-hot categorical,Fixed test set + seed-specific 10k train subset in the unified Phase 4 mainline table.
bank_marketing,control_10k,42,bank_marketing_fixed_test_seed42_train10000,XGBoost,accuracy,0.9047,0.6964,0.7287,0.2853,0.045,0.3303,cpu,10000,9043,45211,16,7,9,51,42,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/bank_marketing_openml.csv,median-impute numeric + one-hot categorical,Fixed test set + seed-specific 10k train subset in the unified Phase 4 mainline table.
bank_marketing,control_10k,42,bank_marketing_fixed_test_seed42_train10000,TabPFN v2,accuracy,0.9114,0.7268,0.7564,0.409,12.8399,13.2488,cuda,10000,9043,45211,16,7,9,16,42,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/bank_marketing_openml.csv,median-impute numeric + ordinal categorical,Fixed test set + seed-specific 10k train subset within TabPFN support range; trained without ignore_pretraining_limits=True.
bank_marketing,control_10k,42,bank_marketing_fixed_test_seed42_train10000,TabICL,accuracy,0.9106,0.7522,0.769,0.4578,4.6159,5.0737,cuda,10000,9043,45211,16,7,9,16,42,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/bank_marketing_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),Fixed test set + seed-specific 10k train subset; uses TabICLClassifier with the official tabicl-classifier-v2-20260212.ckpt checkpoint.
bank_marketing,control_10k,43,bank_marketing_fixed_test_seed43_train10000,LightGBM,accuracy,0.9053,0.7086,0.7375,0.2248,0.087,0.3118,cpu,10000,9043,45211,16,7,9,51,43,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/bank_marketing_openml.csv,median-impute numeric + one-hot categorical,Fixed test set + seed-specific 10k train subset in the unified Phase 4 mainline table.
bank_marketing,control_10k,43,bank_marketing_fixed_test_seed43_train10000,XGBoost,accuracy,0.9036,0.7035,0.7321,0.2956,0.0493,0.3449,cpu,10000,9043,45211,16,7,9,51,43,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/bank_marketing_openml.csv,median-impute numeric + one-hot categorical,Fixed test set + seed-specific 10k train subset in the unified Phase 4 mainline table.
bank_marketing,control_10k,43,bank_marketing_fixed_test_seed43_train10000,TabPFN v2,accuracy,0.9097,0.7246,0.7527,0.4127,12.858,13.2707,cuda,10000,9043,45211,16,7,9,16,43,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/bank_marketing_openml.csv,median-impute numeric + ordinal categorical,Fixed test set + seed-specific 10k train subset within TabPFN support range; trained without ignore_pretraining_limits=True.
bank_marketing,control_10k,43,bank_marketing_fixed_test_seed43_train10000,TabICL,accuracy,0.9093,0.7322,0.7566,0.4987,4.6236,5.1223,cuda,10000,9043,45211,16,7,9,16,43,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/bank_marketing_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),Fixed test set + seed-specific 10k train subset; uses TabICLClassifier with the official tabicl-classifier-v2-20260212.ckpt checkpoint.
bank_marketing,control_10k,44,bank_marketing_fixed_test_seed44_train10000,LightGBM,accuracy,0.9063,0.7067,0.7376,0.2276,0.0894,0.317,cpu,10000,9043,45211,16,7,9,51,44,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/bank_marketing_openml.csv,median-impute numeric + one-hot categorical,Fixed test set + seed-specific 10k train subset in the unified Phase 4 mainline table.
bank_marketing,control_10k,44,bank_marketing_fixed_test_seed44_train10000,XGBoost,accuracy,0.9061,0.7,0.7329,0.2979,0.0452,0.3432,cpu,10000,9043,45211,16,7,9,51,44,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/bank_marketing_openml.csv,median-impute numeric + one-hot categorical,Fixed test set + seed-specific 10k train subset in the unified Phase 4 mainline table.
bank_marketing,control_10k,44,bank_marketing_fixed_test_seed44_train10000,TabPFN v2,accuracy,0.9079,0.7027,0.7369,0.3877,12.8019,13.1897,cuda,10000,9043,45211,16,7,9,16,44,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/bank_marketing_openml.csv,median-impute numeric + ordinal categorical,Fixed test set + seed-specific 10k train subset within TabPFN support range; trained without ignore_pretraining_limits=True.
bank_marketing,control_10k,44,bank_marketing_fixed_test_seed44_train10000,TabICL,accuracy,0.9116,0.7405,0.7643,0.5147,4.5409,5.0556,cuda,10000,9043,45211,16,7,9,16,44,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/bank_marketing_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),Fixed test set + seed-specific 10k train subset; uses TabICLClassifier with the official tabicl-classifier-v2-20260212.ckpt checkpoint.
bank_marketing,control_10k,45,bank_marketing_fixed_test_seed45_train10000,LightGBM,accuracy,0.9036,0.7158,0.7397,0.2269,0.0864,0.3133,cpu,10000,9043,45211,16,7,9,51,45,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/bank_marketing_openml.csv,median-impute numeric + one-hot categorical,Fixed test set + seed-specific 10k train subset in the unified Phase 4 mainline table.
bank_marketing,control_10k,45,bank_marketing_fixed_test_seed45_train10000,XGBoost,accuracy,0.9038,0.7106,0.7368,0.292,0.0505,0.3425,cpu,10000,9043,45211,16,7,9,51,45,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/bank_marketing_openml.csv,median-impute numeric + one-hot categorical,Fixed test set + seed-specific 10k train subset in the unified Phase 4 mainline table.
bank_marketing,control_10k,45,bank_marketing_fixed_test_seed45_train10000,TabPFN v2,accuracy,0.9088,0.7286,0.7539,0.4032,12.6392,13.0424,cuda,10000,9043,45211,16,7,9,16,45,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/bank_marketing_openml.csv,median-impute numeric + ordinal categorical,Fixed test set + seed-specific 10k train subset within TabPFN support range; trained without ignore_pretraining_limits=True.
bank_marketing,control_10k,45,bank_marketing_fixed_test_seed45_train10000,TabICL,accuracy,0.9062,0.7399,0.7567,0.4681,4.5349,5.003,cuda,10000,9043,45211,16,7,9,16,45,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/bank_marketing_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),Fixed test set + seed-specific 10k train subset; uses TabICLClassifier with the official tabicl-classifier-v2-20260212.ckpt checkpoint.
bank_marketing,control_10k,46,bank_marketing_fixed_test_seed46_train10000,LightGBM,accuracy,0.9026,0.7103,0.7351,0.2359,0.0851,0.321,cpu,10000,9043,45211,16,7,9,51,46,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/bank_marketing_openml.csv,median-impute numeric + one-hot categorical,Fixed test set + seed-specific 10k train subset in the unified Phase 4 mainline table.
bank_marketing,control_10k,46,bank_marketing_fixed_test_seed46_train10000,XGBoost,accuracy,0.9017,0.6992,0.727,0.2842,0.0455,0.3297,cpu,10000,9043,45211,16,7,9,51,46,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/bank_marketing_openml.csv,median-impute numeric + one-hot categorical,Fixed test set + seed-specific 10k train subset in the unified Phase 4 mainline table.
bank_marketing,control_10k,46,bank_marketing_fixed_test_seed46_train10000,TabPFN v2,accuracy,0.9089,0.725,0.7519,0.4045,12.5972,13.0017,cuda,10000,9043,45211,16,7,9,16,46,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/bank_marketing_openml.csv,median-impute numeric + ordinal categorical,Fixed test set + seed-specific 10k train subset within TabPFN support range; trained without ignore_pretraining_limits=True.
bank_marketing,control_10k,46,bank_marketing_fixed_test_seed46_train10000,TabICL,accuracy,0.9088,0.7335,0.7566,0.4988,4.5362,5.035,cuda,10000,9043,45211,16,7,9,16,46,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/bank_marketing_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),Fixed test set + seed-specific 10k train subset; uses TabICLClassifier with the official tabicl-classifier-v2-20260212.ckpt checkpoint.
bank_marketing,full_train_reference,42,bank_marketing_fixed_test_seed42_full_train,LightGBM,accuracy,0.91,0.7272,0.7547,0.6361,0.0878,0.7239,cpu,36168,9043,45211,16,7,9,51,42,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/bank_marketing_openml.csv,median-impute numeric + one-hot categorical,Full-train reference row in the unified Phase 4 mainline table.
bank_marketing,full_train_reference,42,bank_marketing_fixed_test_seed42_full_train,XGBoost,accuracy,0.9088,0.7151,0.7459,0.8235,0.0487,0.8722,cpu,36168,9043,45211,16,7,9,51,42,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/bank_marketing_openml.csv,median-impute numeric + one-hot categorical,Full-train reference row in the unified Phase 4 mainline table.
bank_marketing,full_train_reference,42,bank_marketing_fixed_test_seed42_full_train,TabPFN v2,accuracy,0.9128,0.7214,0.755,1.2927,78.8153,80.1081,cuda,36168,9043,45211,16,7,9,16,42,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/bank_marketing_openml.csv,median-impute numeric + ordinal categorical,"Full-train reference row; used ignore_pretraining_limits=True because train size exceeds the official 10,000-sample support, so this is a constrained result."
bank_marketing,full_train_reference,42,bank_marketing_fixed_test_seed42_full_train,TabICL,accuracy,0.9132,0.7602,0.7765,0.6805,19.9448,20.6253,cuda,36168,9043,45211,16,7,9,16,42,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/bank_marketing_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),Full-train reference row; uses TabICLClassifier with the official tabicl-classifier-v2-20260212.ckpt checkpoint and internal TransformToNumerical.
bank_marketing,full_train_reference,43,bank_marketing_fixed_test_seed43_full_train,LightGBM,accuracy,0.9059,0.7179,0.7439,0.6145,0.0817,0.6962,cpu,36168,9043,45211,16,7,9,51,43,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/bank_marketing_openml.csv,median-impute numeric + one-hot categorical,Full-train reference row in the unified Phase 4 mainline table.
bank_marketing,full_train_reference,43,bank_marketing_fixed_test_seed43_full_train,XGBoost,accuracy,0.9087,0.7166,0.7467,0.8445,0.048,0.8925,cpu,36168,9043,45211,16,7,9,51,43,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/bank_marketing_openml.csv,median-impute numeric + one-hot categorical,Full-train reference row in the unified Phase 4 mainline table.
bank_marketing,full_train_reference,43,bank_marketing_fixed_test_seed43_full_train,TabPFN v2,accuracy,0.9114,0.7231,0.7542,1.3355,72.7759,74.1114,cuda,36168,9043,45211,16,7,9,16,43,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/bank_marketing_openml.csv,median-impute numeric + ordinal categorical,"Full-train reference row; used ignore_pretraining_limits=True because train size exceeds the official 10,000-sample support, so this is a constrained result."
bank_marketing,full_train_reference,43,bank_marketing_fixed_test_seed43_full_train,TabICL,accuracy,0.913,0.7527,0.7725,0.6842,17.7976,18.4818,cuda,36168,9043,45211,16,7,9,16,43,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/bank_marketing_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),Full-train reference row; uses TabICLClassifier with the official tabicl-classifier-v2-20260212.ckpt checkpoint and internal TransformToNumerical.
bank_marketing,full_train_reference,44,bank_marketing_fixed_test_seed44_full_train,LightGBM,accuracy,0.9085,0.7244,0.7511,0.6292,0.0801,0.7092,cpu,36168,9043,45211,16,7,9,51,44,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/bank_marketing_openml.csv,median-impute numeric + one-hot categorical,Full-train reference row in the unified Phase 4 mainline table.
bank_marketing,full_train_reference,44,bank_marketing_fixed_test_seed44_full_train,XGBoost,accuracy,0.9097,0.7201,0.7501,0.8324,0.0474,0.8798,cpu,36168,9043,45211,16,7,9,51,44,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/bank_marketing_openml.csv,median-impute numeric + one-hot categorical,Full-train reference row in the unified Phase 4 mainline table.
bank_marketing,full_train_reference,44,bank_marketing_fixed_test_seed44_full_train,TabPFN v2,accuracy,0.9123,0.7167,0.7516,1.2783,78.0605,79.3388,cuda,36168,9043,45211,16,7,9,16,44,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/bank_marketing_openml.csv,median-impute numeric + ordinal categorical,"Full-train reference row; used ignore_pretraining_limits=True because train size exceeds the official 10,000-sample support, so this is a constrained result."
bank_marketing,full_train_reference,44,bank_marketing_fixed_test_seed44_full_train,TabICL,accuracy,0.9135,0.7571,0.7755,0.8162,21.4972,22.3134,cuda,36168,9043,45211,16,7,9,16,44,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/bank_marketing_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),Full-train reference row; uses TabICLClassifier with the official tabicl-classifier-v2-20260212.ckpt checkpoint and internal TransformToNumerical.
bank_marketing,full_train_reference,45,bank_marketing_fixed_test_seed45_full_train,LightGBM,accuracy,0.9088,0.7311,0.7552,0.6665,0.0841,0.7506,cpu,36168,9043,45211,16,7,9,51,45,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/bank_marketing_openml.csv,median-impute numeric + one-hot categorical,Full-train reference row in the unified Phase 4 mainline table.
bank_marketing,full_train_reference,45,bank_marketing_fixed_test_seed45_full_train,XGBoost,accuracy,0.9053,0.7131,0.7403,0.8466,0.0504,0.8969,cpu,36168,9043,45211,16,7,9,51,45,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/bank_marketing_openml.csv,median-impute numeric + one-hot categorical,Full-train reference row in the unified Phase 4 mainline table.
bank_marketing,full_train_reference,45,bank_marketing_fixed_test_seed45_full_train,TabPFN v2,accuracy,0.9103,0.7217,0.7519,1.3311,87.9899,89.321,cuda,36168,9043,45211,16,7,9,16,45,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/bank_marketing_openml.csv,median-impute numeric + ordinal categorical,"Full-train reference row; used ignore_pretraining_limits=True because train size exceeds the official 10,000-sample support, so this is a constrained result."
bank_marketing,full_train_reference,45,bank_marketing_fixed_test_seed45_full_train,TabICL,accuracy,0.9104,0.7607,0.7729,0.7404,21.8017,22.5422,cuda,36168,9043,45211,16,7,9,16,45,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/bank_marketing_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),Full-train reference row; uses TabICLClassifier with the official tabicl-classifier-v2-20260212.ckpt checkpoint and internal TransformToNumerical.
bank_marketing,full_train_reference,46,bank_marketing_fixed_test_seed46_full_train,LightGBM,accuracy,0.9082,0.7361,0.7573,0.6455,0.0863,0.7319,cpu,36168,9043,45211,16,7,9,51,46,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/bank_marketing_openml.csv,median-impute numeric + one-hot categorical,Full-train reference row in the unified Phase 4 mainline table.
bank_marketing,full_train_reference,46,bank_marketing_fixed_test_seed46_full_train,XGBoost,accuracy,0.9089,0.727,0.7531,0.8524,0.0501,0.9025,cpu,36168,9043,45211,16,7,9,51,46,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/bank_marketing_openml.csv,median-impute numeric + one-hot categorical,Full-train reference row in the unified Phase 4 mainline table.
bank_marketing,full_train_reference,46,bank_marketing_fixed_test_seed46_full_train,TabPFN v2,accuracy,0.908,0.7216,0.7488,1.4295,83.2717,84.7012,cuda,36168,9043,45211,16,7,9,16,46,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/bank_marketing_openml.csv,median-impute numeric + ordinal categorical,"Full-train reference row; used ignore_pretraining_limits=True because train size exceeds the official 10,000-sample support, so this is a constrained result."
bank_marketing,full_train_reference,46,bank_marketing_fixed_test_seed46_full_train,TabICL,accuracy,0.9093,0.7687,0.7752,0.7513,19.8415,20.5928,cuda,36168,9043,45211,16,7,9,16,46,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/bank_marketing_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),Full-train reference row; uses TabICLClassifier with the official tabicl-classifier-v2-20260212.ckpt checkpoint and internal TransformToNumerical.
